id,site_id,site_name,event_name,year,description,lat,lon,cluster
83,28,Embekke Devalaya,Construction During Gampola Era,1350 AD,Built by King Vikramabahu III.,7.2427,80.5677,9
84,28,Embekke Devalaya,Kandyan Restorations,1650 AD,Kandyan kings extended the hall.,7.2427,80.5677,9
85,29,Lankatilaka Temple,Construction by King Buwanekabahu IV,1344 AD,Brick-Vihara blending Dravidian & Sinhalese styles.,7.2467,80.5711,9
86,29,Lankatilaka Temple,Painting Additions,1700 AD,Kandyan murals added to interior walls.,7.2467,80.5711,9
87,29,Lankatilaka Temple,Modern Restoration,1960 AD,Structural reinforcements added.,7.2467,80.5711,9
88,30,Gadaladeniya Vihara,Construction by Gampola Kings,1344 AD,Built atop rock using South Indian architectural styles.,7.2453,80.5692,9
89,30,Gadaladeniya Vihara,Restoration by King Narendrasinghe,1700 AD,Temple renovated with Kandyan decorations.,7.2453,80.5692,9
90,30,Gadaladeniya Vihara,Monastic Activity Revival,1900 AD,Monks revived teachings & rituals.,7.2453,80.5692,9
91,31,Beligala Rajamaha Vihara,Relocation of Tooth Relic,1211 AD,Tooth Relic housed here during Magha invasions.,7.183,80.4,9
92,31,Beligala Rajamaha Vihara,Construction of Image House,1200 AD,Kings built chamber for relic.,7.183,80.4,9
93,31,Beligala Rajamaha Vihara,Decline During Polonnaruwa Fall,1300 AD,Site abandoned by monks.,7.183,80.4,9
94,32,Sela Cetiya,Construction Under King Lajjitissa,119 BC,Small stupa built near Mihintale stairway.,8.35,80.511,4
95,32,Sela Cetiya,Ritual Worship Period,300 AD,Site of ritualistic ceremonies by monks.,8.35,80.511,4
96,32,Sela Cetiya,Archaeological Excavation,1950 AD,Cleared & documented by archaeology dept.,8.35,80.511,4
97,33,Kasagala Raja Maha Vihara,Ancient Monastery Establishment,200 BC,Early Buddhist temple with inscriptions.,6.033,80.709,11
98,33,Kasagala Raja Maha Vihara,Stone Pillars Added,200 AD,Pillars indicate ancient image houses.,6.033,80.709,11
99,33,Kasagala Raja Maha Vihara,Modern Restorations,1950 AD,Temple restored by local monks.,6.033,80.709,11
100,34,Tissamaharama Stupa,Construction by Kavan Tissa,200 BC,Large stupa built in Ruhuna Kingdom.,6.2781,81.2888,7
101,35,Kataragama Maha Devalaya,Origin of Shrine,100 AD,"Shrine dedicated to God Kataragama, worshiped by Buddhists and Hindus.",6.4136,81.3333,7
102,35,Kataragama Maha Devalaya,Devala Festival Establishment,1400 AD,Annual Esala festival expanded under Kandyan kings.,6.4136,81.3333,7
103,35,Kataragama Maha Devalaya,Pilgrim Route Development,1950 AD,Traditional Pada Yatra strengthened after independence.,6.4136,81.3333,7
104,36,Sithulpawwa Rajamaha Vihara,Construction by King Kavantissa,200 BC,"Used as meditation monastery for 12,000 monks.",6.4043,81.4667,7
105,36,Sithulpawwa Rajamaha Vihara,Rock Inscriptions Added,100 AD,Donor inscriptions indicate royal patronage.,6.4043,81.4667,7
106,36,Sithulpawwa Rajamaha Vihara,Archaeological Excavation,1960 AD,Many caves and stupas unearthed.,6.4043,81.4667,7
107,37,Baduraliya Cave Monastery,Monastic Use Begins,300 AD,Cave complex used by forest monks.,6.5951,80.1314,0
108,37,Baduraliya Cave Monastery,Inscriptions Added,500 AD,Rock inscriptions referencing hermit monks.,6.5951,80.1314,0
109,37,Baduraliya Cave Monastery,Rediscovered,1950 AD,Documented during archaeological surveys.,6.5951,80.1314,0
110,38,Dedigama Kota Vehera,Construction of Kota Stupa,100 BC,Massive circular stupa attributed to King Parakramabahu I (birthplace).,7.2306,80.1967,9
111,38,Dedigama Kota Vehera,Underground Relic Chamber Found,1952 AD,Archaeologists discovered relic casket and gold items.,7.2306,80.1967,9
112,38,Dedigama Kota Vehera,Conservation Project,1980 AD,Stabilization and museum establishment.,7.2306,80.1967,9
113,39,Deniyaya Pattini Devalaya,Construction by Local Chiefs,1500 AD,Shrine dedicated to goddess Pattini in southern highlands.,6.339,80.558,11
114,39,Deniyaya Pattini Devalaya,Festival Traditions Begin,1700 AD,Annual rituals introduced by village leaders.,6.339,80.558,11
115,39,Deniyaya Pattini Devalaya,Restoration,1950 AD,Shrine reconstructed due to weather damage.,6.339,80.558,11
116,40,Rajagala Monastery,Founding of Aranya Senasana,300 BC,Monastery belonging to early forest-dwelling monks.,7.935,81.6,10
117,40,Rajagala Monastery,Bronze Relic Discovery,1958 AD,Relic casket found at site.,7.935,81.6,10
118,40,Rajagala Monastery,Inscriptions Documented,1960 AD,Over 60 cave inscriptions identified.,7.935,81.6,10
119,41,Menikdena Viharaya,Construction of Ancient Temple,700 AD,Temple built near Matale hills.,7.528,80.649,9
120,41,Menikdena Viharaya,Monastic Activity Peaks,900 AD,Flourished as meditation center.,7.528,80.649,9
121,41,Menikdena Viharaya,Rediscovery,1948 AD,Archaeology Dept. began conservation.,7.528,80.649,9
122,42,Bambaragala Raja Maha Vihara,Ancient Caves Occupied,100 BC,Forest caves shelter ancient monks.,7.374,80.882,2
123,42,Bambaragala Raja Maha Vihara,Kandyan Mural Work,1700 AD,Temple walls decorated with Kandyan paintings.,7.374,80.882,2
124,42,Bambaragala Raja Maha Vihara,Restoration Work,1970 AD,Conservation of murals and shrine.,7.374,80.882,2
125,43,Kokebe Raja Maha Vihara,Foundation of Temple,200 BC,Built during early Anuradhapura period.,6.623,80.608,11
126,43,Kokebe Raja Maha Vihara,Stone Carvings Added,800 AD,Carvings added by regional rulers.,6.623,80.608,11
127,43,Kokebe Raja Maha Vihara,Modern Conservation,1990 AD,Temple protected by archaeology dept.,6.623,80.608,11
128,44,Kotte Rajamaha Vihara,Construction in Kotte Kingdom,1400 AD,Built under Parakramabahu VI.,6.89,79.901,3
129,44,Kotte Rajamaha Vihara,Portuguese Damage,1550 AD,Partially destroyed during battles.,6.89,79.901,3
130,44,Kotte Rajamaha Vihara,Restoration Works,1900 AD,Repaired by devotees.,6.89,79.901,3
131,45,Rajamaha Vihara Ridigama,Sacred Silver Discovery,178 AD,Silver ore used for Ruwanwelisaya donated here.,7.758,80.543,1
132,45,Rajamaha Vihara Ridigama,Kandyan Renovations,1600 AD,Kings built image houses and walls.,7.758,80.543,1
133,45,Rajamaha Vihara Ridigama,Modern Restoration,1950 AD,Temple strengthened.,7.758,80.543,1
134,46,Nagadeepa Viharaya,Buddha’s Visit,500 BC,Buddha visited to settle dispute between Naga kings.,9.51,79.78,4
135,46,Nagadeepa Viharaya,Temple Reconstruction,300 AD,Dagoba built by early rulers.,9.51,79.78,4
136,46,Nagadeepa Viharaya,Renovation After War,2010 AD,Temple renovated and re-opened.,9.51,79.78,4
137,47,Doramadalawa Monastery,Construction Period,900 AD,Used as forest monastery during medieval times.,7.92,80.64,1
138,47,Doramadalawa Monastery,Stone Steps Carved,1000 AD,Access pathways created.,7.92,80.64,1
139,47,Doramadalawa Monastery,Rediscovery,1980 AD,Caves recorded by archaeology dept.,7.92,80.64,1
140,48,Kanneliya Forest Monastery,Creation of Forest Hermitage,1200 AD,Forest monks meditated in caves.,6.281,80.368,0
141,48,Kanneliya Forest Monastery,Usage Decline,1700 AD,Forest hermitage abandoned gradually.,6.281,80.368,0
142,48,Kanneliya Forest Monastery,Modern Rediscovery,1985 AD,Site surveyed during forestry mapping.,6.281,80.368,0
143,49,Bundala Ancient Stupa,Construction by Local Rulers,100 BC,Buddhist stupa built in southern dry zone.,6.197,81.188,7
144,49,Bundala Ancient Stupa,Rediscovery During Sanctuary Mapping,1969 AD,Found while establishing Bundala Sanctuary.,6.197,81.188,7
145,49,Bundala Ancient Stupa,Conservation,2000 AD,Archaeology department restored mound.,6.197,81.188,7
146,50,Dorawaka Lena (Cave Temple),Monastic Occupation,300 BC,Pre-Buddhist cave modified by monks.,7.322,80.2,9
147,50,Dorawaka Lena (Cave Temple),Rock Art Found,200 AD,Ancient drawings identified.,7.322,80.2,9
148,50,Dorawaka Lena (Cave Temple),Modern Excavation,1990 AD,Archaeologists found tools & pottery.,7.322,80.2,9
149,51,Arankale Monastery,Forest Monastic Foundation,700 AD,Built as meditation center.,7.812,80.474,1
150,51,Arankale Monastery,Stone Balustrade Construction,900 AD,Unique balustrades added to shrine rooms.,7.812,80.474,1
151,51,Arankale Monastery,Conservation Project,1975 AD,Restored pathways and ponds.,7.812,80.474,1
152,52,Ella Ravana Temple,Legend of Ravana,1000 AD,Site associated with Ravana worship.,6.8667,81.0466,2
153,52,Ella Ravana Temple,Cave Worship Begins,1200 AD,Shrine expanded in medieval era.,6.8667,81.0466,2
154,52,Ella Ravana Temple,Festival Established,1800 AD,Local communities created annual rituals.,6.8667,81.0466,2
155,53,Maligatenna Raja Maha Vihara,Temple Establishment,1500 AD,Used as refuge for monks during Portuguese era.,7.031,80.089,3
156,53,Maligatenna Raja Maha Vihara,Underground Tunnels Used,1550 AD,Tunnels linked to nearby cave temples.,7.031,80.089,3
157,53,Maligatenna Raja Maha Vihara,Restoration,1950 AD,Temple reconstructed after neglect.,7.031,80.089,3
158,54,Ussangoda Sacred Area,Legend of Hanuman,unknown,Believed scorched by Hanuman during Ramayana tale.,6.071,80.887,11
159,54,Ussangoda Sacred Area,Fishing Rituals Begin,1500 AD,Local fishermen performed blessings here.,6.071,80.887,11
160,54,Ussangoda Sacred Area,Declared Archaeological Reserve,2000 AD,Protected due to unique soil and legends.,6.071,80.887,11
161,55,Sera Ella Monastery,Monks Occupy Caves,300 AD,Meditation caves behind waterfall.,7.61,80.85,1
162,55,Sera Ella Monastery,Shrine Construction,900 AD,Small brick shrine built near falls.,7.61,80.85,1
163,55,Sera Ella Monastery,Rediscovery,1960 AD,Survey teams documented site.,7.61,80.85,1
164,56,Beli Lena Cave,Prehistoric Human Settlement,34000 BC,Homo sapiens fossils found here.,6.8167,80.2833,3
165,56,Beli Lena Cave,Stone Tool Discovery,30000 BC,Tools indicating early human habitation found.,6.8167,80.2833,3
166,56,Beli Lena Cave,Research Excavations,1984 AD,Extensive archaeological dig conducted.,6.8167,80.2833,3
167,57,Potgul Vihara Polonnaruwa,Library Monastery Construction,1150 AD,Believed to be library of King Parakramabahu.,7.9397,81.0025,1
168,57,Potgul Vihara Polonnaruwa,Stone Book Stand Creation,1153 AD,Unique circular structure built.,7.9397,81.0025,1
169,57,Potgul Vihara Polonnaruwa,Rediscovery,1900 AD,Site mapped by British archaeologists.,7.9397,81.0025,1
170,58,Panduwasnuwara Palace,Construction of Palace,1153 AD,Built by King Parakramabahu VI.,7.4139,80.0403,5
171,58,Panduwasnuwara Palace,Founding of City,1150 AD,Used briefly as capital.,7.4139,80.0403,5
172,58,Panduwasnuwara Palace,Excavations Begin,1950 AD,Ruins uncovered including moonstones.,7.4139,80.0403,5
173,59,Nilagala Hermitage,Forest Monastic Use,900 AD,Monks meditated in remote eastern hills.,7.055,81.6,8
174,59,Nilagala Hermitage,Ritual Blessings, AD,Local rulers patronized site.,7.055,81.6,8
175,59,Nilagala Hermitage,Modern Rediscovery,1970 AD,Survey identified stupas and caves.,7.055,81.6,8
176,60,Wariyapola Clock Tower,Sri Lankan Air Landing Legend,400 AD,Believed Wariyapola Deviyo landed chariot here.,7.604,80.241,5
177,60,Wariyapola Clock Tower,Portuguese Era Use,1600 AD,Town became trading hub.,7.604,80.241,5
178,60,Wariyapola Clock Tower,Tower Construction,1880 AD,Clock tower built during colonial era.,7.604,80.241,5
179,61,Henarathgoda Botanical Garden,Rubber Tree Introduction,1876 AD,First rubber tree planted here by British.,7.144,80.004,3
180,61,Henarathgoda Botanical Garden,Botanical Research Begins,1880 AD,Used as research station.,7.144,80.004,3
181,61,Henarathgoda Botanical Garden,National Park Listing,2016 AD,Recognized due to historical trees.,7.144,80.004,3
182,62,Ambuluwawa Tower,Construction of Multi-Religious Complex,2000 AD,Symbol of religious harmony built by local council.,7.2262,80.6159,9
183,62,Ambuluwawa Tower,Environmental Conservation Zone,2006 AD,Declared biodiversity hotspot.,7.2262,80.6159,9
184,62,Ambuluwawa Tower,Public Opening,2009 AD,Open to tourists.,7.2262,80.6159,9
185,63,Monaragala Maligawila Buddha Statue,Construction of Standing Statue,700 AD,Tall limestone Buddha statue carved.,6.738,81.343,7
186,63,Monaragala Maligawila Buddha Statue,Collapse & Reconstruction,1980 AD,Statue restored after collapse.,6.738,81.343,7
187,63,Monaragala Maligawila Buddha Statue,Archaeological Surveys,1970 AD,Uncovered inscriptions and ruins.,6.738,81.343,7
188,64,Dematamal Viharaya,Royal Reconciliation Legend,100 BC,Prince Dutugemunu reconciled with his father here.,6.72,81.097,2
189,64,Dematamal Viharaya,Temple Expansion,300 AD,Kings added stupas & image houses.,6.72,81.097,2
190,64,Dematamal Viharaya,Restoration,1950 AD,Local monks rebuilt structures.,6.72,81.097,2
191,65,Weheragala Monastery,Monastic Settlement,800 AD,Monks lived in natural caves.,7.95,80.72,1
192,65,Weheragala Monastery,Stone Steps Constructed,900 AD,Access steps carved into rock.,7.95,80.72,1
193,65,Weheragala Monastery,Rediscovery,1972 AD,Survey team recorded ruins.,7.95,80.72,1
194,66,Bibile Maligawila Region,Ancient Monastery Use,700 AD,Used by monks during southern rule.,7.2,81.2,2
195,66,Bibile Maligawila Region,Statue Fragments Found,1973 AD,Fragments of statues discovered.,7.2,81.2,2
196,66,Bibile Maligawila Region,Conservation,1990 AD,Site protected by archaeology dept.,7.2,81.2,2
197,67,Badulla Bogoda Bridge,Construction of Wooden Bridge,1600 AD,Oldest surviving wooden bridge in Sri Lanka.,6.981,81.046,2
198,67,Badulla Bogoda Bridge,Use During Kandyan Era,1700 AD,Bridge used as royal route.,6.981,81.046,2
199,67,Badulla Bogoda Bridge,Restoration,1990 AD,Wooden beams reinforced.,6.981,81.046,2
200,68,Haldummulla Portuguese Fort,Construction by Portuguese,1615 AD,Fort built to monitor highland routes.,6.758,80.892,2
201,68,Haldummulla Portuguese Fort,Occupation by Dutch,1658 AD,Dutch forces took control of upland outpost.,6.758,80.892,2
202,68,Haldummulla Portuguese Fort,Archaeological Survey,1998 AD,Ruins mapped and documented.,6.758,80.892,2
203,69,Kapugala Monastery,Founding of Meditation Caves,100 BC,Ancient rock caves used by monks.,7.8,80.7,1
204,69,Kapugala Monastery,Carving of Inscriptions,200 AD,Early Brahmi inscriptions discovered.,7.8,80.7,1
205,69,Kapugala Monastery,Conservation,1990 AD,Temple caves cleaned & preserved.,7.8,80.7,1
206,70,Thanthirimale Sacred Area,Arrival of Arahat Mahinda,250 BC,Tradition states Mahinda Thera rested here.,8.6,80.1833,4
207,70,Thanthirimale Sacred Area,Temple Construction,300 AD,Stupa and shrine room built.,8.6,80.1833,4
208,70,Thanthirimale Sacred Area,Bodhi Tree Planting,200 AD,Sapling brought from Anuradhapura.,8.6,80.1833,4
209,71,Thiriyaya Girihandu Seya,Construction by Merchant Brothers,300 BC,Built by Tapassu & Bhalluka offering first gifts to Buddha.,8.85,81.033,6
210,71,Thiriyaya Girihandu Seya,Stupa Expansion,700 AD,Stupa enlarged during Anuradhapura era.,8.85,81.033,6
211,71,Thiriyaya Girihandu Seya,Conservation,1970 AD,Structured repaired under archaeology dept.,8.85,81.033,6
212,72,Kudarangala Monastery,Ancient Cave Settlement,150 BC,Sheltered monks in deep southern forest.,6.275,81.183,7
213,72,Kudarangala Monastery,Inscriptions Found,200 AD,Cave inscriptions indicate ancient donors.,6.275,81.183,7
214,72,Kudarangala Monastery,Rediscovery,1985 AD,Survey teams rediscovered ruins.,6.275,81.183,7
215,73,Tantirimale Museum,Establishment,2001 AD,Modern museum built near sacred area.,8.6,80.183,4
216,73,Tantirimale Museum,Artifact Collection,2005 AD,Stone tools and statues stored.,8.6,80.183,4
217,73,Tantirimale Museum,Heritage Promotion,2015 AD,Local exhibitions began.,8.6,80.183,4
218,74,Seruwila Mangala Raja Maha Viharaya,Construction by King Kavantissa,200 BC,Built to store sacred relics.,8.45,81.2833,6
219,74,Seruwila Mangala Raja Maha Viharaya,Reconstruction,1930 AD,Temple rebuilt through public donations.,8.45,81.2833,6
220,74,Seruwila Mangala Raja Maha Viharaya,Declared Sacred Area,1962 AD,Recognized by govt as historic site.,8.45,81.2833,6
221,75,Kilinochchi Ancient Ruins,Monastic Use,1000 AD,Remains of medieval monastery uncovered.,9.373,80.399,4
222,75,Kilinochchi Ancient Ruins,Pillars Discovered,1950 AD,Granite pillars identified during surveys.,9.373,80.399,4
223,75,Kilinochchi Ancient Ruins,Restoration,2010 AD,Site preserved after conflict period.,9.373,80.399,4
224,76,Mannar Fort,Construction by Portuguese,1560 AD,Built to protect pearl fisheries.,8.976,79.909,4
225,76,Mannar Fort,Strengthened by Dutch,1696 AD,Walls reinforced and bastions added.,8.976,79.909,4
226,76,Mannar Fort,British Administration,1800 AD,Used as administrative center.,8.976,79.909,4
227,77,Thanthirimale Stone Buddha Carving,Creation of Statue,700 AD,Large seated statue carved into cliff.,8.6,80.183,4
